"Story","Title","Result","Date","Stability","Duration (s)"
"Luma Product List Page","Navigate Configurable Products PLP Default","SUCCESS","2016-07-31T00:52:19.243+01:00","0.0","38.38"
"Luma Product List Page","Navigate Configurable Products PLP List View","SUCCESS","2016-07-31T00:53:47.849+01:00","0.0","46.4"
"Luma Product List Page","Navigate Simple Products PLP Default","SUCCESS","2016-07-31T00:51:32.000+01:00","0.0","46.02"
"Luma Product List Page","Navigate Simple Products PLP List View","SUCCESS","2016-07-31T00:52:58.908+01:00","0.0","47.72"
