"Story","Title","Result","Date","Stability","Duration (s)"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2017-04-14T00:50:17.447+01:00","0.0","36.78"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2017-04-14T00:51:31.399+01:00","0.0","35.87"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2017-04-14T00:50:08.186+01:00","0.0","9.08"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2017-04-14T00:51:21.671+01:00","0.0","9.54"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2017-04-14T00:49:58.524+01:00","0.0","9.5"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2017-04-14T00:51:11.984+01:00","0.0","9.52"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2017-04-14T00:50:54.499+01:00","0.0","17.09"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2017-04-14T00:52:07.557+01:00","0.0","16.42"
