"Story","Title","Result","Date","Stability","Duration (s)"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2016-07-31T01:11:16.817+01:00","0.0","64.95"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2016-07-31T01:10:58.004+01:00","0.0","18.0"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2016-07-31T01:10:38.937+01:00","0.0","17.64"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2016-07-31T01:12:22.564+01:00","0.0","20.59"
